Economy,Year,Economy Code,"Total alcohol consumption per capita, male (liters of pure alcohol, projected estimates, male 15+ years of age)"
Syrian Arab Republic,2018,SYR,0.42
Turks and Caicos Islands,2018,TCA,
Chad,2018,TCD,2.25
Togo,2018,TGO,3.93
Thailand,2018,THA,13.42
Tajikistan,2018,TJK,5.6
Turkmenistan,2018,TKM,8.4
Timor-Leste,2018,TLS,3.43
Tonga,2018,TON,1.33
Trinidad and Tobago,2018,TTO,10.58
Tunisia,2018,TUN,3.75
Turkiye,2018,TUR,3.62
Tuvalu,2018,TUV,2.51
Tanzania,2018,TZA,18.79
Uganda,2018,UGA,24.62
Ukraine,2018,UKR,13.96
Uruguay,2018,URY,10.83
United States,2018,USA,15.29
Uzbekistan,2018,UZB,4.46
St. Vincent and the Grenadines,2018,VCT,14.38
"Venezuela, RB",2018,VEN,6.6
British Virgin Islands,2018,VGB,
Virgin Islands (U.S.),2018,VIR,
Vietnam,2018,VNM,14.1
Vanuatu,2018,VUT,3.73
Samoa,2018,WSM,4.33
Kosovo,2018,XKX,
"Yemen, Rep.",2018,YEM,0.088
South Africa,2018,ZAF,15.91
Zambia,2018,ZMB,10.62
Zimbabwe,2018,ZWE,8
